LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
2021/2851,Hackney,11/03/2022,Approved,All Other,Replacement of windows to front and rear elevations.,"38 Albion Drive, Hackney, London, E8 4LX",38,ALBION DRIVE,HACKNEY,E8 4LX,,,,,10,10,0,,,Approved,06/05/2022,,,/planning/index.html?fa=getApplication&id=72879
1983/APP/2022/1008,Hillingdon,24/03/2022,Approved,All Other,Extension at the front of the property above the shopfront to provide 1 x self-contained flat (Use Class C3) at second floor level and erection of a new two storey building at the rear of the property to provide 1 x self-contained flat (Use Class C3) above an open loading bay with associated bin and cycle store.,69 HIGH STREET,,RUISLIP,,HA4 8JB,,,,,2,0,2,,,Approved,29/07/2022,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=1983/APP/2022/1008
2517/22,Redbridge,18/10/2022,Approved,All Other,"Erection of a single dwelling house (one x 2-bedroom) with associated car parking, cycle store, waste/refuse storage, amenity space, fencing and works to trees. (Summary).",Development Rear Of 8 Latchett Road In,,Diana Close,South Woodford,,,,,,1,0,1,,,Approved,21/12/2022,,,
HGY/2022/2130,Haringey,18/08/2022,Approved,All Other,Conversion of first floor from use class E (currently vacant) to two self contained flats use class C3.,"67, Grand Parade, London, N4 1EB",67,Grand Parade,,N4 1EB,,,,,2,0,2,,,Approved,12/10/2022,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GIdPAAW
2022/4571,Wandsworth,08/11/2022,Approved,All Other,Alterations including erection of single storey extension and mansard roof extension above existing two storey building in connection with creation 7 self-contained flats all with private balconies/terraces at each level and associated cycle and refuse storage.,,158,Balham High Road,London,SW12 9BN,,,,,7,0,7,,,Approved,03/03/2023,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/4571
22/01981/FULL,London Borough of Barking and Dagenham,21/11/2022,Approved,All Other,Demolition of existing burnt structure and construction of a new two storey 3x bedroom dwelling,,10,STRATFORD CLOSE,,,,,,,1,1,0,,,Approved,16/12/2022,,,https://online-befirst.lbbd.gov.uk/planning/index.html?fa=getApplication&id=31295
21/04016/FUL,Enfield Council,30/11/2021,Approved,All Other,"Sub-division of site and the erection of 1 x single family dwellinghouse with vehicle parking, and storage for refuse and recycling with private amenity space.",,55,Aldridge Avenue,,EN3 6HX,,,,,1,0,1,,,Approved,11/06/2022,,,
2022/1424/P,Camden,09/05/2022,Approved,All Other,Certificate of lawfulness (proposed) for amalgamation of garden level flat and 1st - 3rd floors flat into one single dwellinghouse.,Flat A,,15 Lady Margaret Road,London,NW5 2NG,,,,,1,2,-1,,,Approved,20/07/2022,,,
22/3710/FUL,London Borough of Barnet,19/07/2022,Approved,All Other,"Construction of a two storey dwelling following demolition of the existing garage. Associated cycle/refuse and recycling storage, off-street parking. Alterations to existing fenestration including the bricking up of the ground and first floor side windows of No.44/46 Coppetts Road. Alterations to front and rear facade of the existing flats, and alterations to the forecourt including new vehicular access, hardstanding, new fencing and soft landscaping. Sub-division of the rear amenity space. [Amended Description/Plans]",Land Adjacent To 44 And 46 Coppetts RoadLondonN10 1JX,,,,,,,,,1,0,1,,,Approved,07/12/2022,,,
2021/5761/P,Camden,24/11/2021,Approved,All Other,"Demolition of existing 4th floor extension and erection of new 2 storey extension to create 2 additional residential units (Class C3), with a roof terrace",,18,Stukeley Street,London,WC2B 5LR,,,,,2,0,2,,,Approved,18/01/2023,,,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2021/5761/P
14578/APP/2022/1838,Hillingdon,08/06/2022,Approved,All Other,New build replacement dwelling house.,17 BROADWOOD AVENUE,,RUISLIP,,HA4 7XS,,,,,1,1,0,,,Approved,16/09/2022,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=14578/APP/2022/1838
22/3321/FUL,London Borough of Barnet,27/06/2022,Approved,All Other,"Single storey rear extension and conversion of the property into 2no. self-contained units. Associated car parking, cycle storage and refuse and recycling facilities",,18,Sydney Grove,Hendon,NW4 2EH,,,,,2,1,1,,,Approved,31/08/2022,,,
P0599.22,Havering,12/04/2022,Approved,All Other,Demolition of existing Bungalow and erection of 2 x 4 bedroom dwellings with habitable roof spaces and rear dormers together with the creation of a new crossover.,Wayside,,Fullers Lane,,RM5 3JT,,,,,4,2,2,,,Approved,07/06/2022,,,http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=P0599.22
P/4015/22,Harrow,30/11/2022,Approved,All Other,Conversion of first and second floor flat into two flats (1 X studio and 1 X 2 bed); rear dormer; installation of two rooflights in front roofslope; external aterations,,891,Honeypot Lane,Stanmore,HA7 1AR,,,,,4,1,3,,,Approved,07/02/2023,,,http://site.com?appref=P/4015/22-or-1230183
0289/22,Redbridge,24/03/2022,Approved,All Other,Loft conversion with rear dormer. Hip to gable roof alterations. Three front rooflights. Conversion of garage into habitable room. Alterations to fenestrations. Change of use from single dwelling house C3(a) to Supported Living Accomodation C3(b). (summary),"2, Fowey Avenue, Ilford, IG4 5JT",2,Fowey Avenue,,IG4 5JT,,,,,0,1,-1,,,Approved,18/05/2022,,,
P2021/3139/FUL,Islington,11/03/2022,Approved,All Other,"Proposed erection of mansard roof to provide one self-contained 2-bed, 3 person flat.",,498,Hornsey Road,London,,,,,,1,0,1,,,Approved,05/09/2022,,,
222380FUL,Ealing,23/05/2022,Approved,All Other,Conversion of existing two flat property into a single dwellinghouse; single storey rear extension; first floor rear/side extension; rear roof extension; side roof extension; installation of one rooflight to front roof slope and one rooflight to side roof slope; enclosure of front porch; resurfacing of the front forecourt area,49 Gunnersbury Avenue,,Gunnersbury Avenue,London,W5 4LP,,,,,1,1,0,,,Approved,08/07/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/222380FUL;
22/01911/FULL,London Borough of Barking and Dagenham,17/11/2022,Approved,All Other,Demolition of existing burnt structures and construction of 6x 2 storey dwellings at Farm Close and Stratford Close,,3,FARM CLOSE,,RM10 9TX,,,,,6,6,0,,,Approved,16/12/2022,,,https://online-befirst.lbbd.gov.uk/planning/index.html?fa=getApplication&id=31277
221219FUL,Ealing,05/04/2022,Approved,All Other,Change of use of dwellinghouse (Use Class C3) to residential care home for children (Use Class C2),28 Milford Road,,Milford Road,Southall,UB1 3QQ,,,,,0,1,-1,,,Approved,29/06/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/221219FUL;
HGY/2020/0789,Haringey,20/03/2020,Approved,All Other,Demolition of lock up garages and erection of two x 3 bedroom houses. (Amended Description),"Site at rear, 457-461, High Road, London, N22 8JD",457,,,,,,,,2,0,2,,,Approved,25/05/2022,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GHiUAAW
22/2119/FUL,London Borough of Barnet,26/04/2022,Approved,All Other,"Conversion of the existing property into 7no. self-contained flats, including part single part two storey side extension, single storey rear extension and alterations to the roof including raising height of crown roof, 3no. rear dormers and 2no. side dormers with rooflights to front roofslope. Associated amenity space, refuse storage, cycle storage and off-street parking (amended description)",320 - 322 Watford Way London NW4 4UY,320,Watford Way,,NW4 4UY,,,,,8,2,6,,,Approved,29/07/2022,,,
21/2970/FUL,Richmond upon Thames,08/09/2021,Approved,All Other,"Change of use from retail (Use Class E) on first and second floors at no 19 to create a new, three bed maisonette; First floor side/rear extension and PV panels to existing roof of No.19; change of use and extension of roof space (Use Class E) at no. 19a, including rooflights, raising the roof eaves/ridge and a dormer extension to create a new Studio flat; New shop frontage, including separate residential access to No.19a.",,"19, 19A",King Street,,TW9 1ND,,,,,2,0,2,,,Approved,20/04/2022,,,
223929FUL,Ealing,26/01/2023,Approved,All Other,"Conversion of the existing property into two self-contained residential units and provision of associated cycle storage, refuse storage facilities and amenity space",5 Church Road,,Church Road,Southall,UB2 4NU,,,,,2,0,2,,,Approved,03/04/2023,,,https://pam.ealing.gov.uk/online-applications/PLAN/223929FUL;
15400/APP/2021/4581,Hillingdon,20/12/2021,Approved,All Other,Demolition of existing house and erection of a new dwelling house,99 COPSE WOOD WAY,,NORTHWOOD,,HA6 2TU,,,,,1,1,0,,,Approved,22/07/2022,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=15400/APP/2021/4581
22/0089/FUL,London Borough of Barnet,10/01/2022,Approved,All Other,"Conversion of the existing dwelling into 2no. self-contained flats; Associated refuse/recycling, cycle storage and amenity space",,27,Manor Park Crescent,,HA8 7NH,,,,,2,1,1,,,Approved,22/04/2022,,,
211384,Waltham Forest,07/06/2021,Approved,All Other,"Subdivision of land to create 1x2 bedroom self-contained flat (Use Class C3) and all associated works including front and rear boundary treatment, landscaping, cycle and refuse storage facilities.","Ground Floor Flat 1, 104 Vicarage Road, Leyton, London, E10 5DZ",104,,,,,,,,1,0,1,,,Approved,08/11/2022,,,
20/00051/FUL,London Borough of Newham,17/01/2020,Approved,All Other,"Hybrid planning application for the phased employment-led redevelopment of Albert Island. Full Planning Permission is sought for Enabling Works Phase comprising site enabling works, demolitions, utility diversions, installation of pedestrian bridge, and river wall works; Stage One (Zone B) comprising an employment hub delivering a mix of light industrial, long term storage and distribution logistics warehouse including provision of service yards and parking facilities, flexible industrial and educational uses and café within the Ideas Factory building, site management office, long stay car parking, access, new landscape, public realm and associated works; and Stage Two (Zone C) comprising 16 residential units (Class C3), RoDMA office and facilities, and associated car and cycle parking, access, landscaping and other necessary works. Outline Planning Permission (all matters reserved apart from access) is sought for Stage 3 Three (Zone A) comprising a replacement marina, boatyard and a passenger pier.The application is accompanied by an Environmental Statement",Development Site At Albert Island,,Woolwich Manor Way,North Woolwich,E16 2QS,,,,,16,0,16,,,Approved,20/03/2023,,,
22/0393/FUL,London Borough of Barnet,26/01/2022,Allowed,All Other,"Erection of a single storey dwellinghouse plus basement level with associated amenity space, refuse storage, cycle store and off-street parking [amended]",,145,Arlington Road,Southgate,N14 5BA,,,,,1,0,1,,,Refused,18/05/2022,,,
22/03952/FULL,Westminster,16/06/2022,Approved,All Other,"Use of first to third floor levels as residential (Class C3) (Part of Land Use Swap with 17-19 Neal Street, 23 Neal Street, 79 Long Acre and 116 Long Acre) with associated replacement of windows to rear and side elevations with double-glazing timber windows, the blocking of opening and new window opening at second floor side elevation and installation of rooflights and smoke vent at roof level.",,40,Drury Lane,,WC2B 5RR,,,,,3,0,3,,,Approved,23/12/2022,,,
P2022/0889/FUL,Islington,01/04/2022,Approved,All Other,Proposed front and rear extensions at first and second floor levels and change of use of the first and second floors of the building from current use Class E to Class C3 residential to facilitate the provision of 2no. self-contained residential units.,,498,Hornsey Road,London,,,,,,2,0,2,,,Approved,12/10/2022,,,
HGY/2021/2031,Haringey,12/07/2021,Approved,All Other,"Partial demolition of rear extensions and construction of 5 x part two, part three storey mews dwellings. Demolition of three storey front projection, demolition and re-construction of existing top floor of Social Club building and change of use of first","Wood Green Social Club, 3 & 4, Stuart Crescent, London, N22 5NJ",,,,,,,,,14,5,9,,,Approved,17/06/2022,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GJncAAG
2022/5133/P,Camden,22/11/2022,Approved,All Other,Reinstatement of upper ground floor rear window and amalgamation of two flats into one residential maisonette (Class C3) at lower ground and upper ground floor levels,156 Belsize Road,,,London,NW6 4BJ,,,,,0,1,-1,,,Approved,28/02/2023,,,
21/4740/FUL,London Borough of Barnet,06/09/2021,Approved,All Other,"Erection of a two-storey building on the side garden of No. 69 Brunswick Park Gardens, to create 4no self-contained assisted living units. Addition of a single storey front extension to form new front entrance at No. 69 Brunswick Park Gardens. Associated additional refuse/recycling store and parking area.",,69,Brunswick Park Gardens,New Southgate,N11 1EF,,,,,4,0,4,,,Approved,14/12/2022,,,
P2020/0937/FUL,Islington,01/04/2020,Approved,All Other,Erection of a part four/part five storey building (following demolition of existing single storey building (165sqm use D1 (clinic)) to allow for the creation of 7x self-contained residential flats (use C3) (3x 1bedroom units and 4x 2bedroom units) and ground floor (154sqm) chiropody/dental clinic (use D1).,,89 - 91,Mildmay Park,London,N1 4NB,,,,,7,0,7,,,Approved,04/05/2022,,,
2021/5404,Wandsworth,29/11/2021,Approved,All Other,Demolition of existing house and garages and erection of a two-storey 5-bedroom detached house.,The Garden Cottage,,Heath Rise,London,SW15 3HF,,,,,1,1,0,,,Approved,27/04/2022,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2021/5404
22/P0629,Merton,22/02/2022,Approved,All Other,ERECTION OF A TWO STOREY DETACHED FAMILY DWELLING HOUSE WITH BASEMENT ON LAND WITHIN THE CURTILAGE OF THE EXISTING DETACHED HOUSE AT 5 ATHERTON DRIVE. THE APPLICATION SEEKS TO RENEW PERMISSION 16/P1276.,Atherton House,5,Atherton Drive,Wimbledon,SW19 5LB,,,,,1,0,1,,,Approved,18/07/2022,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=22/P0629
220718FUL,Ealing,22/02/2022,Approved,All Other,Conversion of single dwellinghouse into two self-contained flats,53 Southdown Avenue,,Southdown Avenue,London,W7 2AE,,,,,2,1,1,,,Approved,22/09/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/220718FUL;
2021/4807,Wandsworth,06/01/2022,Approved,All Other,Alterations including conversion of 5 x bedsits on the first and second floors into 1 x 1 bedroom flat and 1 x 2 bedroom flat with refuse and cycle storage in the rear garden.,,31,Clarendon Drive,London,SW15 1AW,,,,,2,1,1,,,Approved,22/07/2022,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2021/4807
22/03337/FULL1,Bromley,26/08/2022,Approved,All Other,Conversion of existing buildings to form a new detached residential dwelling with associated amenity space. (Amended plan).,Oakhurst Piggeries,,Cudham Lane South,Cudham,TN14 7QA,,,,,1,0,1,,,Approved,11/01/2023,,,
21/03028/FUL,Lambeth,29/07/2021,Approved,All Other,"Demolition of 49B Leigham Court Road and redevelopment of the site to provide affordable residential homes within a new building with associated access, accessible parking, landscaped communal amenity space and cycle and refuse store facilities.","49B And Land Rear Of 47, 49 And 49A And 49B Leigham Court Road",,Development Control Pseudo Street,,SW16 2NF,,,,,35,1,34,,,Approved,09/02/2023,,,
P/4746/21,Harrow,30/11/2021,Approved,All Other,"Redevelopment to provide a two-storey building with habitable roof space, comprising of eight flats (5 x 2 bed 4 person and 3 x 2 bed 3 person), parking; landscaping; modified vehicular access; bin & cycle stores (demolition of dwelling)",,22,The Avenue,Pinner,HA5 4ER,,,,,8,1,7,,,Approved,17/11/2022,,,http://site.com?appref=P/4746/21-or-1167602
2022/03270/FUL,London Borough of Hammersmith and Fulham,09/11/2022,Approved,All Other,"Conversion of 2no. self-contained two bedroom flats (293b at rear of first floor level and second floor level and 295 at ground floor level) into 1no. 4no. bedroom self-contained dwelling, together with associated internal alterations which include: installation of an internal staircase between ground floor level (295) and first floor level (293b), and removal of existing internal entrance door to flat 293b at first floor level.",293B And 295 Fulham Palace RoadLondonSW6 6TL,,,,,,,,,1,2,-1,,,Approved,12/01/2023,,,
22/03190/FULL,Westminster,25/05/2022,Approved,All Other,Erection of a single storey extension at roof level and extension to rear at first to fourth floors to create an additional five flats (Class C3). Refurbishment of the front and rear elevations. Provision of a green roof.,,15,Crawford Place,,W1H 4LG,,,,,12,8,4,,,Approved,05/01/2023,,,
22/03477/FUL,Enfield Council,23/11/2022,Approved,All Other,"Conversion of single family dwelling house into 2 self-contained flats, involving single storey rear extension, front entrance porch, rear dormer with front rooflights and extension of chimney.",,30,Holmesdale,,EN8 8QY,,,,,3,1,2,,,Approved,18/01/2023,,,
22/1137/FUL,London Borough of Barnet,04/03/2022,Approved,All Other,"Phased demolition of the existing bungalow and detached garage and erection of 2no two storey dwellinghouses with rooms in the roofspace. Erection of rear outbuildings. Associated amenity space, refuse/recycling store, off-street parking and cycle storage",,3,Cavendish Road,,EN5 4ED,,,,,2,1,1,,,Approved,10/06/2022,,,
22/2273/FUL,London Borough of Barnet,27/04/2022,Approved,All Other,"Demolition of existing building and erection of a three storey building with rooms in roofspace to provide commercial floorspace (office space - Class E) at ground floor level and 4no self-contained flats on the upper floors. Associated alterations to existing fenestration including the bricking up of first floor side window to No.25 Daws Lane. Provision of new amenity space, bicycle storage and refuse and recycling storage",27 - 29 Daws LaneLondonNW7 4SD,,,,,,,,,4,0,4,,,Approved,01/09/2022,,,
21/4257/FUL,Richmond upon Thames,10/02/2022,Approved,All Other,"Demolition of Existing House and Garaging and Erection of New Replacement Two Storey House with Part Basement, Additional Accommodation within the Roof Space, Attached Garages and External Works.",Denbigh,34,Lower Teddington Road,,KT1 4HJ,,,,,1,1,0,,,Approved,05/09/2022,,,
22/00864/FULL1,Bromley,25/02/2022,Approved,All Other,"Single storey rear extension and roof extensions to existing Coach House, and conversion to form a separate 3 bedroom dwelling, including elevation alterations",The Chantry,,Mottingham Lane,Mottingham,SE9 4RW,,,,,1,0,1,,,Approved,20/02/2023,,,
221047FUL,Ealing,09/03/2022,Approved,All Other,"Conversion of dwellinghouse into 2 self contained flats provision of associated car parking, refuse storage, cycling storage and amenity space; first floor rear extension; alteration to rear ground floor fenestration involving replacement of window; demolition of outbuilding",3 Neal Avenue,,Neal Avenue,Southall,UB1 2QR,,,,,2,1,1,,,Approved,28/04/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/221047FUL;
2021/1455,Hackney,01/06/2021,Approved,All Other,"Demolition of existing garage and erection of a 2-storey, plus basement, building to provide a 2-bed residential unit (Use Class C3) and office floor space (Use Class E) and associated works.",,1e,SPRINGDALE MEWS,HACKNEY,N16 9NR,,,,,2,0,2,,,Approved,16/12/2022,,,/planning/index.html?fa=getApplication&id=70393
223121,Waltham Forest,07/11/2022,Approved,All Other,Conversion of two self-contained flats (2x2-bed) (Use Class C3) into one single two-storey dwellinghouse (1x4-bed) (Use Class C3) including replacement door to front elevation.,"139 Howard Road, Walthamstow, London, E17 4SG",139,,,,,,,,1,2,-1,,,Approved,19/01/2023,,,
22/P3133,Merton,03/10/2022,Approved,All Other,CONVERSION OF 2 X MAISONETTES INTO A SINGLE DWELLINGHOUSE,,13,Faraday Road,Wimbledon,SW19 8PE,,,,,1,2,-1,,,Approved,05/12/2022,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=22/P3133
2022/4135/P,Camden,25/10/2022,Approved,All Other,"Use of 1st, 2nd and 3rd floors of property as 6 self-contained flats (Class C3)",258 Kilburn High Road,,,London,NW6 2BY,,,,,6,0,6,,,Approved,09/11/2022,,,
222104PACBSD,Ealing,19/05/2022,Approved,Prior Approval,"Change of use of second and third floor from office (Use Class E(g)(i)) to two self-contained residential units (Use Class C3) (Part 3 Class G, 56 day Prior Approval Process)",45 The Broadway,,The Broadway,London,W5 5JU,,,,,2,0,2,,,Approved,04/08/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/222104PACBSD;
22/01173/FULL,Westminster,03/03/2022,Approved,All Other,Conversion of the existing upper floor maisonette into 1 x three bedroom flat at first floor and 1 x 2 bedroom flat at second floor and associated alterations. (Linked with 22/01174/LBC),,42,Westbourne Terrace,,W2 3UH,,,,,3,1,2,,,Approved,26/08/2022,,,
210399,Waltham Forest,29/04/2021,Approved,All Other,"Alterations including change of use of retail unit (Class E) to retail unit and residential units (Class C3), changes to rear elevation fenestration including installation of replacement windows, replacement of one ground floor elevation door with window. Removal of part of the ground floor of the building and construction of first floor rear extension to facilitate the conversion of the rear building and upper levels of the front building to 5 residential units with associated bicycle storages and communal area.","555-557,high Road, Leytonstone, London,, E11 4PD",,,,,,,,,5,0,5,,,Approved,13/01/2023,,,
21/AP/3577,London Borough of Southwark,14/10/2021,Approved,All Other,"Demolition of 2 storey former council office building and temporary structure to rear and erection of part 3, part 6 storey residential building containing 13 no. social rented affordable homes with associated landscaping works",153-159 Abbeyfield RoadLondonSouthwarkSE16 2BS,,,,,,,,,13,0,13,,,Approved,11/11/2022,,,
203996,Waltham Forest,24/12/2020,Approved,All Other,"Construction of roof extension to create third floor for the provision of three residential units (1 x studio and 2 x 1-bedroom flats), with associated waste storage and cycle storage.","665 High Road Leyton, Leyton, London, E10 6RA",665,,,,,,,,3,0,3,,,Approved,28/07/2022,,,
2022/1330,Wandsworth,31/03/2022,Approved,All Other,Alterations including erection of a three storey side extension and excavation to create basement including formation of front and rear lightwells in connection with change of use to 3 x 2 bedroom and 5 x 1 bedroom flats.(Class C3) with associated refuse and cycle storage.,John Morris House,164,St Johns Hill,London,SW11 1SW,,,,,8,0,8,,,Approved,25/05/2022,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/1330
22/01479/PMA,Enfield,05/05/2022,Approved,Prior Approval,Prior approval for change of use of first floor from office (Class E) to a self contained flat (Class C3).,,70A,Aldermans Hill,,N13 4PP,,,,,1,0,1,,,Approved,29/06/2022,,,
221146FUL,Ealing,16/03/2022,Approved,All Other,"Conversion of single dwelling house to two self-contained units with associated bin storage, bicycle storage and private amenity space; single storey front extension and front porch extension; part first floor rear extension",131 Lancaster Road,,Lancaster Road,Northolt,UB5 4TE,,,,,2,1,1,,,Approved,27/04/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/221146FUL;
21/04384/FUL,Enfield Council,01/12/2021,Approved,All Other,Demolition of existing yard structures and erection of a dwelling house.,Rear Of 436-444 Green Lanes London N13 5XG,,,,,,,,,1,0,1,,,Approved,17/05/2022,,,
216150FUL,Ealing,02/12/2021,Approved,All Other,Change of use of single family dwellinghouse (Use Class C3) to House in Multiple Occupation (Large HMO) comprising 6 rooms for up to 10 people (Use Class Sui Generis),30 Northcote Avenue,,Northcote Avenue,Southall,UB1 2AY,,,,,1,1,0,,,Approved,30/08/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/216150FUL;
21/P2851,Merton,06/10/2021,Approved,All Other,ERECTION OF A TWO STOREY DWELLINGHOUSE (1B X 1P) TO THE SIDE OF 93 EASTFIELDS ROAD,,93,Eastfields Road,Mitcham,CR4 2LS,,,,,1,0,1,,,Approved,12/04/2022,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=21/P2851
22/01203/FULL1,Bromley,21/03/2022,Approved,All Other,"Second floor extension to enlarge 2 no. existing flats including internal alterations, new façade and external amenity space associated with these flats. Formation of 2 no. Automatic Opening Vents (AOVs) at roof level",Burnhill House,50,Burnhill Road,,BR3 3LA,,,,,2,2,0,,,Approved,23/05/2022,,,
221721FUL,Ealing,22/04/2022,Approved,All Other,"Construction of semidetached two storey dwelling house, with habitable loft space; alterations to the existing dwelling house including a single storey rear extension, a part first floor rear extension and alteration of roof from hip to gable end, a rear roof extension and installation of two of lights to front roof slope.",1 Kingsley Avenue,,Kingsley Avenue,Southall,UB1 2LZ,,,,,1,0,1,,,Approved,17/06/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/221721FUL;
P/0569/22,Harrow,23/03/2022,Approved,All Other,Redevelopment to provide three storey building comprising of commercial floorspace to ground floor (Use class E) and five flats; creation of four X two storey terraced houses (4 X 2 bed); landscaping; parking; bin and cycle stores (demolition of existing building),,268,High Road,Harrow,HA3 7BB,,,,,9,0,9,,,Approved,27/03/2023,,,http://site.com?appref=P/0569/22-or-1179141
HGY/2022/1097,Haringey,21/03/2022,Approved,All Other,Single storey and two-story rear side first floor extensions with loft floor 2 no front-side roof dormer and 3 no rear side windows. Conversion of upper into 3 no residential flats (1x2 bed 2x1 bed). External and internal alteration.,"608, Lordship Lane, London, N22 5JH",608,Lordship Lane,,N22 5JH,,,,,3,0,3,,,Approved,24/10/2022,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GIbCAAW
22/3539/FUL,London Borough of Barnet,12/07/2022,Approved,All Other,"Development of the site to provide 8 affordable homes (Class C3) in a 3 storey building, together with associated public realm, landscaping and playspace improvements, and car and cycle parking (Subject to Unilateral Undertaking, dated: 21/12/22)",Land At Central Avenue (Adjacent To Willow House) The Grange EstateHigh RoadLondonN2,,,,,,,,,8,0,8,,,Approved,03/01/2023,,,
P2021/3215/FUL,Islington,29/10/2021,Approved,All Other,"Demolition of the existing buildings and erection of a part four storey part five storey building, comprising of 7 residential units (1 x 1-bed, 5 x 2-beds & 1 x 3-bed) on the upper floors and commercial office floorspace (Class E) at ground floor level as well as refuse and cycle storage.",Commercial Unit,,Holloway Road,London,N19 3NU,,,,,7,3,4,,,Approved,19/05/2022,,,
22/2582/FUL,London Borough of Barnet,16/05/2022,Approved,All Other,"Demolition of the existing dwelling and garage and erection of a two storey building with rooms in the roofspace comprising 4no. self-contained flats. Associated private and communal amenity spaces, cycle store, associated refuse/recycling store and hard and soft landscaping (amended drawings).",,167,Hendon Way,,NW2 2NB,,,,,4,1,3,,,Approved,04/01/2023,,,
55857/APP/2022/275,Hillingdon,28/01/2022,Approved,All Other,"Outline planning application for erection of 3 x dwellings, following the demolition of existing bungalow and associated landscaping and parking (all matters reserved)",389 HARLINGTON ROAD,,HILLINGDON,,UB8 3JE,,,,,3,1,2,,,Approved,06/09/2022,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=55857/APP/2022/275
P/3028/22,Harrow,13/09/2022,Approved,All Other,Redevelopment To Provide Two Storey (6 Bed) Dwelling With Habitable Roofspace; Alteration And Enlargement Of Existing Garage And Outbuilding; Landscaping,,69,Dennis Lane,Stanmore,HA7 4JU,,,,,1,1,0,,,Approved,19/01/2023,,,http://site.com?appref=P/3028/22-or-1216103
2020/0625/P,Camden,10/02/2020,Approved,All Other,Demolition of existing dwelling and construction of two new residential dwellings (C3).,,20,Vicar's Road,London,NW5 4NL,,,,,2,1,1,,,Approved,13/07/2022,,,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2020/0625/P
2021/3401/P,Camden,13/07/2021,Approved,All Other,"Change of use of existing 4 bed flat at 3rd and loft floors to provide a 3 bed flat and a 2 bed flat, the erection of an extension to infill the valley roof and installation of two rear dormers, a rear rooflight, replacement french doors and balustrades to form a roof terrace at rear third floor level.",,24,Fitzjohn's Avenue,London,NW3 5NB,,,,,1,0,1,,,Approved,10/08/2022,,,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2021/3401/P
HGY/2022/0754,Haringey,22/02/2022,Approved,All Other,Roof extension to create 2no self-contained flats,"3, Vale Terrace, London, N4 1LX",3,,,,,,,,2,0,2,,,Approved,17/05/2022,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GJWsAAO
P/2906/22,Harrow,23/08/2022,Approved,All Other,Redevelopment to provide two storey dwelling with habitable roofspace and basement level; landscaping; bin and cycle stores,,16,Grange Gardens,Pinner,HA5 5QE,,,,,1,1,0,,,Approved,25/10/2022,,,http://site.com?appref=P/2906/22-or-1214164
22/1075/FUL,Richmond upon Thames,08/06/2022,Approved,All Other,"Change of use of first floor from self-contained residential flat to office. Internal alterations including, upgrading the fire escape route, refurbishment of the kitchen to a tea room and WC facilities . Painting and decorating all rooms and corridors throughout the new offices and stair well to the private entrance.","Teddington District Library, First Floor Flat",,Waldegrave Road,,TW11 8NY,,,,,0,1,-1,,,Approved,07/02/2023,,,
