LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
2021/2448,Hackney,03/09/2021,Approved,All Other,Change of use of part first floor (Unit 101) from a fitness suite (Use Class E) to 2no. residential units (Use Class C3).,"First Floor, Micawber Wharf",17,MICAWBER STREET,HACKNEY,N1 7TB,,,,,2,0,2,,,Approved,29/06/2022,,,/planning/index.html?fa=getApplication&id=71351
22/03822/FULL1,Bromley Custodian Code,29/09/2022,Approved,All Other,Subdivision of the plot of 7 Denbridge Road in two and erecting a detached 5 bedroom dwelling house accessible via access road off Wells Road.,,7,Denbridge Road,Bickley,BR1 2AG,,,,,1,0,1,,,Approved,08/12/2022,,,
21/01776/FULL,London Borough of Barking and Dagenham,03/03/2022,Approved,All Other,"Demolition of existing part two storey building (Use Class E) and construction of a part three storey residential building (Use Class C3) to provide 6 self contained 1 bedroom flats and a three storey, 3 bedroom dwelling house with associated cycle parking, refuse storage and private amenity space in the form of balconies and terraces, a green roof and a green living wall.&nbsp;","219 Morley Road, Barking, Barking And Dagenham, IG11 7DH",219,MORLEY ROAD,BARKING,IG11 7DH,,,,,7,0,7,,,Approved,09/05/2022,,,https://online-befirst.lbbd.gov.uk/planning/index.html?fa=getApplication&id=29706
22/02559/FULL,Westminster,14/04/2022,Approved,All Other,Use of basement to create two new residential units (Class C3).,Chesham House,"30, 31",Chesham Place,,SW1X 8DL,,,,,2,0,2,,,Approved,19/08/2022,,,
3153/22,Redbridge,28/09/2022,Approved,All Other,"Demolish single storey rear extension. Part single, part two storey rear extension. Two storey side extension. Loft conversion with a rear dormer. One rooflight. Re-render facade. Extension of means of access with associated landscaping. Erection of boundary treatments in garden. Cycle parking storage. Alterations to fenestrations and main property entrance. (Summary)","15A and 15B, Derby Road, South Woodford, London",,,,,,,,,2,2,0,,,Approved,29/11/2022,,,
56037/APP/2022/3582,Hillingdon,13/12/2022,Approved,All Other,Change of use from a residential dwelling (Class C3) to a residential building for the provisions of care (Class C3b) (Application for a Certificate of Lawful Development for a Proposed Development),4 STRONE WAY,,HAYES,,,,,,,1,1,0,,,Approved,07/02/2023,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=56037/APP/2022/3582
P2022/3029/FUL,Islington,15/08/2022,Approved,All Other,Erection of additional storey; alterations to external doors and fenestration; installation of rooflights and solar panels to roof; formation of roof terrace above workshop with associated covered winter garden and green roof,,1 - 2,Rosa Alba Mews,London,N5 2QL,,,,,1,0,1,,,Approved,02/11/2022,,,
2022/0255/P,Camden,21/01/2022,Approved,All Other,Erection of mansard roof extension with dormer windows to front and side elevations to provide one new self-contained residential flat (Class C3).,,294,Gray's Inn Road,London,WC1X 8DX,,,,,1,0,1,,,Approved,21/09/2022,,,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/0255/P
1649/22,Redbridge,14/06/2022,Approved,All Other,Change of use from a single dwelling house into a large HMO. (Summary).,"55, St Albans Road, Seven Kings, Ilford, IG3 8NN",55,St Albans Road,Seven Kings,IG3 8NN,,,,,1,1,0,,,Approved,29/07/2022,,,
217198FUL,Ealing,17/01/2022,Approved,All Other,Change of use of HMO dwellinghouse (Use Class C4) to House in Multiple Occupation (Large HMO) (Use Class Sui Generis) for 9 persons with first floor rear infill extension and rear loft floor outrigger extension.,23 Gloucester Road,,Gloucester Road,London,W3 8PD,,,,,1,1,0,,,Approved,27/07/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/217198FUL;
