LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
202317,Waltham Forest,10/08/2020,Approved,All Other,"Change of use from a ground floor retail unit (Class A1) to 1 x 1- bedroom flat (Class C3), with alteration to front and rear ground floor fenestration including construction of bay window at front elevation.",,394,FOREST ROAD,,E17 5JF,,,,,1,0,1,,,Approved,29/09/2020,,,https://builtenvironment.walthamforest.gov.uk/planning/index.html?fa=getApplication&id=46040
20/03097/FULL,Westminster,18/05/2020,Approved,All Other,Demolition of the existing mansard roof and construction of two floors to create a duplex residential flat with roof terrace and associated works including installation of plant and landscaping works.,,24,Carlton House Terrace,,SW1Y 5AP,,,,,1,0,1,,,Approved,10/11/2020,,,
20/04017/FULL,Westminster,15/07/2020,Approved,All Other,"Amalgamation of Flat 5, 29 Ennismore Gardens and Flat 12, 28 Ennismore Gardens at third foor level to create one family sized dwelling.",28-29 Ennismore GardensLondonSW7 1AD,,,,,,,,,1,2,-1,,,Approved,23/09/2020,,,
19/00929/CLEUD,Westminster,20/02/2019,Approved,All Other,Use of a building as 13 serviced apartments (sui generis use).,14-15 Hertford Court Hertford StreetLondonW1J 7RP,,,,,,,,,0,13,-13,,,Approved,02/12/2020,,,
20/08067/FULL,Westminster,22/12/2020,Approved,All Other,Amalgamation of two flats at ground and lower ground level to create a single family dwellinghouse (Use Class C3).,Flat 1 Basement,35,Aylesford Street,,SW1V 3RY,,,,,1,2,-1,,,Approved,05/02/2021,,,
20/AP/2214,London Borough of Southwark,07/08/2020,Approved,All Other,"Certificate of lawfulness (proposed) Part of first floor area to be converted into a two bedroom flat, no machinery will be installed. Conversion of part of first floor ancillary space to bakery to two bedroom flat.",131-133 Evelina RoadLondonSouthwarkSE15 3HB,,,,,,,,,1,0,1,,,Approved,12/10/2020,,,
21/00158/CLE,London Borough of Newham,26/01/2021,Approved,All Other,Application for a lawful development certificate for the existing use as two flats.,,64,Perth Road,Plaistow,E13 9DS,,,,,2,1,1,,,Approved,23/03/2021,,,
20/03650/FULL,Westminster,12/06/2020,Approved,All Other,"Internal and external alterations including replacement of non-original fenestration to the front and rear elevations; replacement of the front elevation door at lower ground level and replacement of modern fenestration to the rear extension. Restoration and reconfiguration to provide five residential units, provision of amenity spaces in the rear courtyard and rear lightwell, creation of a terrace at ground floor level and at rear fourth floor level, and provision of waste storage and plant in basement vaults.",,37,Great Cumberland Place,,W1H 7TD,,,,,1,3,-2,,,Approved,15/10/2020,,,
20/AP/2841,London Borough of Southwark,19/10/2020,Approved,All Other,"Variation of Condition 1 (Approved Plans) pursuant to 18/AP/3613 [Change of use of part of the existing ground floor from retail shop (Use Class A1) to provide 1x self-contained flat (Use Class C3), change of use of first floor from storage (Use Class B8) to provide 3x self-contained flats and an upward extension to provide 2x self-contained flats at second floor level with associated refuse and cycle storage] for the reconfiguration of Unit 3, enlargement of Unit 4, creation of terrace for Unit 6 facing inner courtyard and reconfiguration of internal floor layout to provide study room, repositioning of second floor front elevation windows, changes to Zinc seam cladding width at second floor level and associated ground floor works to cycle storage and refuse area.",61-63 Rye LaneLondonSouthwarkSE15 5EX,,,,,,,,,4,0,4,,,Approved,17/12/2020,,,
20/02340/CLE,London Borough of Newham,24/10/2020,Approved,All Other,Application for a lawful development certificate for the existing use as 2 flats.,,11,Herbert Road,Manor Park,E12 6AY,,,,,2,0,2,,,Approved,17/12/2020,,,
20/03010/FULL,Westminster,16/06/2020,Approved,All Other,"Dual/alternative use of part ground floor and first-third floors of No. 31 for either office use (Class B1) or 3 residential units (Class C3). Use of part ground floor of No. 31 and first-fourth floors of Nos. 28-31 as office floorspace (Class B1); and use of the first-third floors of No. 27 as residential units (Class C3). Minor reconfiguration of existing residential units within No. 26 James Street. Installation of an additional door to the shopfront of 31 James Street, installation of external plant within parapet screened area at second floor roof level to the rear of No. 30 and minor external alterations to the rear of the terrace. (Site includes 26, 27, 28, 29, 30 and 31 James Street).",,26,James Street,Covent Garden,WC2E 8PA,,,,,3,1,2,,,Approved,22/10/2020,,,
