LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
P/1133/18,Harrow,,Allowed,All Other,Conversion of dwellinghouse into four flats (comprising 2 no. 1-bed flats and 2 no. 2-bed flats); conversion of garage into habitable room; alterations to roof to raise ridge height; external alterations; bin & cycle store,60,60,Cedar Drive,Pinner,HA5 4DE,,,,,4,1,3,,,,27/02/2019,,,
17/2178/F,Greenwich,,Allowed,All Other,Demolition of existing buildings and construction of a 4 storey (including basement) development comprising 4 x 3 bedroom houses; 1 x 2 bedroom and 2 x 1 bedroom units; 4 x domestic outbuildings and associated works.,1,1,Hyde Vale,Greenwich,SE10 8QG,,,,,7,0,7,,,,30/04/2018,,,
18/2825/F,Greenwich,,Allowed,All Other,Construction of a part 1/part 2-storey 2-bed end of terrace dwelling house.,17,17,Wrottesley Road,Plumstead,SE18 3EW,,,,,1,0,1,,,,14/03/2019,,,
18/3183/F,Greenwich,,Allowed,All Other,"Construction of a 2nd storey to provide 5 flats (4x1-bed, 1x2-bed) with associated amenity space.",142-144,142-144,Eltham High Street,Eltham,SE9 1BJ,,,,,5,0,5,,,,20/03/2019,,,
18/0685/F,Greenwich,,Allowed,All Other,Construction of an end-of-terrace single bedroom dwellinghouse.,45,45,Meerbrook Road,Kidbrooke,SE3 9QG,,,,,1,0,1,,,,21/01/2019,,,
HGY/2017/1230,Haringey,,Allowed,All Other,Demolition of existing storage sheds and construction of a new ground and lower ground duplex apartment,63,63,Mayes Road,,N22 6TN,,,,,1,0,1,,,,24/08/2018,,,
P/1525/17,Harrow,,Allowed,All Other,COU from a golf driving range with ancillary golf shop and first floor flat (D2) together with two storey rear extension & external alterations to nine flats (C3); S/S detached building at side for use as replacement golf reception building; parking etc,Stanmore and Edgware Golf Centre,Stanmore and Edgware Golf Centre,Brockley Hill,Stanmore,HA7 4LR,,,,,9,1,8,,,,23/08/2018,,,
172751,Waltham Forest,,Allowed,All Other,Change of use from workshops attached to shop (Class A1) to three dwellings and retention of 50sqm shop (Class A1).,69,69,Chingford Mount Road,Chingford,E4 8LU,,,,,3,0,3,,,,25/06/2018,,,
P/4368/17,Harrow,,Allowed,All Other,Outline consent with all matters reserved: Redevelopment to provide a two storey detached building with basement and accommodation in roof to create nine flats; basement parking,Linden House,Linden House,South View Road,Pinner,HA5 3YD,,,,,9,1,8,,,,05/09/2018,,,
17/0722/O,Greenwich,,Allowed,All Other,"Outline Planning Permission (All Matters Reserved) for the construction of a 2-storey, 2-bed detached house.",Adjacent to 68,Adjacent to 68,Mottingham Lane,Mottingham,SE12 9AW,,,,,1,0,1,,,,12/02/2019,,,
4154/18,Redbridge,,Approved,All Other,Conversion of two self-contained flats back in to single dwelling (C3). (Summary),68,68,Mayfair Avenue,Ilford,IG1 3DQ,,,,,1,2,-1,,,Approved,21/12/2018,,,
18/2081/192,Barnet,,Approved,All Other,Conversion of 2no self-contained flats back into single family dwelling,29A,29A,Gloucester Road,Oakleigh,EN5 1RT,,,,,1,2,-1,,,Approved,12/06/2018,,,
18/2716/GPD13,Richmond upon Thames,,Approved,Prior Approval,Change of use of premises from a A1 use to to C3 (residential use - 2 no studio flats and 1 x 1 bed flat with existing first floor flat above no. 561 to remain),561-563,561-563,Upper Richmond Road West,East Sheen,SW14 7ED,,,,,3,0,3,,,Approved,08/10/2018,,,
180985,Waltham Forest,,Approved,All Other,Lawful Development Certificate (Proposed)-Change of use of property from residential house (Class C3) to care home (C3b).,24,24,Clarendon Road,Leytonstone,E11 1DA,,,,,1,1,0,,,Approved,20/06/2018,,,
