LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
21/0212/FUL,London Borough of Barnet,15/01/2021,Approved,All Other,"Conversion of dwelling house (Class C3) into 2no self contained flats. Associated refuse/recycle store, cycle parking and amenity space",,9,Heather Gardens,Golders Green,NW11 9HS,,,,,4,0,4,,,Approved,19/04/2023,,,
23/2673/FUL,Richmond upon Thames,12/10/2023,Approved,All Other,Subdivision of two bed flat to two 1 bed flats with associated refuse storage and cycle parking.,,28,Hill Street,,TW9 1TW,,,,,1,0,1,,,Approved,14/12/2023,,,
23/P1382,Merton,23/05/2023,Approved,All Other,CHANGE OF USE FROM C3 DWELLINGHOUSE TO 5 PERSON HMO (C4),,99,Grove Road,Mitcham,CR4 1SL,,,,,1,1,0,,,Approved,29/06/2023,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=23/P1382
23/AP/0894,London Borough of Southwark,14/06/2023,Approved,All Other,Change of use of the 2nd and 3rd floors from Office (Use Class E) to 9 x residential units (Use Class C3),250 Waterloo RoadLondonSouthwarkSE1 8RD,,,,,,,,,9,0,9,,,Approved,03/04/2024,,,
3077/23,Redbridge,04/11/2023,Approved,All Other,"Alterations to host property to include hard landscaping / paving works to the front. Formation of means of access to a highway. Demolish side garage. Erection of a single dwelling house with associated hard and soft landscaping works, ramped access to the front, car parking space, electric car charging point, cycle storage, waste / refuse storage and amenity space. Formation of means of access to a highway. (Summary).",Development At 8,,North View Drive,,,,,,,1,0,1,,,Approved,20/12/2023,,,
2022/4424/P,Camden,12/10/2022,Approved,All Other,"Erection of a mansard roof extension at rear, to create 1 x two Bedroom Self-Contained Flat, with insertion of four dormer windows in front roof slope to existing building.",,270,Kilburn High Road,London,NW6 2BY,,,,,1,0,1,,,Approved,17/01/2024,,,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/4424/P
240042PACEC3,Ealing,26/12/2023,Approved,Prior Approval,"Change of use of part of first floor commercial floorspace (Use Class E) to 1 self-contained residential unit (Use Class C3) (Class G, 56 day Prior Approval Process)",49 Boston Road,,Boston Road,London,W7 3SH,,,,,1,0,1,,,Approved,06/02/2024,,,https://pam.ealing.gov.uk/online-applications/PLAN/240042PACEC3;
2022/1962/P,Camden,29/06/2022,Approved,All Other,"Conversion of 3 residential units to 2 units, erection of a three storey rear extension at lower ground to 1st floors including excavations at lower ground floor and a roof terrace at ground floor, creation of new front lightwell, various elevation alterations including additional dormer on side elevation, installation of 2 ASHP units in rear garden with enclosure, bin enclosure in front garden, and landscaping alterations.",,61,Redington Road,London,NW3 7RP,,,,,2,3,-1,,,Approved,13/12/2023,,,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/1962/P
2023/01329/FUL,London Borough of Hammersmith and Fulham,23/05/2023,Approved,All Other,"De-conversion of the existing building comprising of 3no self-contained flats into a single family dwellinghouse; erection of rear extensions at ground and first floor level following partial demolition of the ground floor back addition and the single storey shed at the side of the building; creation of a new porch entrance to flank elevation, associated alterations to the flank boundary wall including installation of wrought iron metal gate and bricking up of the existing gate entrance: erection of bin store, installation of new windows to replace the existing windows and new rooflights in main roof slope fronting Hartswood Road elevation",,32,Stamford Brook Road,,W6 0XL,,,,,1,3,-2,,,Approved,18/07/2023,,,
22/06902/LBC,Westminster,12/10/2022,Approved,All Other,Internal alterations to 8 Porchester Place including opening up works and new connection through to Portsea Mews at ground floor and opening works and damp proofing at basement floor; external alteration including installation of new shopfront; and other associated works. (Linked with 22/06901/FULL),1-15 Portsea Mews And 8 Porchester Place London W2 2BN,,,,,,,,,6,8,-2,,,Approved,29/06/2023,,,
22/02119/FUL,Enfield Council,22/07/2022,Approved,All Other,"Construction of a detached two-storey dwelling, with associated loft accommodation and new pedestrian only access onto Alston Road.",Land Rear Of 23-25 Dysons RoadLondonN18 2DG,,,,,,,,,1,0,1,,,Approved,01/09/2023,,,
23/02208/FUL,London Borough of Bexley,07/09/2023,Approved,All Other,Conversion of the existing property to provide to provide 3 self-contained residential units including changes to fenestrations with new side access door to first floor unit and additional external staircase to second floor unit via rear car parking area.,,7,Cowper Road,,DA17 5BE,,,,,3,1,2,,,Approved,06/12/2023,,,
DM2023/00620,London Borough of Sutton,04/05/2023,Approved,All Other,"Demolition of existing dwelling and erection of 2 x 2 storey semi-detached buildings with accommodation in roof space, comprising 4 dwellings. Parking, cycle and bin storage.",,57,Grove Lane,,CR5 2QD,,,,,4,1,3,,,Approved,22/01/2024,,,
23/4395/FUL,London Borough of Barnet,12/10/2023,Approved,All Other,Erection of a rear outbuilding following the demolition of the existing greenhouse and shed (AMENDED DESCRIPTION),Ground Floor Flat,2,Shakespeare Road,Mill Hill,NW7 4BB,,,,,1,0,1,,,Approved,24/01/2024,,,
0712/23,Redbridge,15/03/2023,Approved,All Other,"Demolish existing dwelling house. Erection of six x 4-bedroom dwelling houses with associated waste/refuse, car parking, cycle store and amenity space. Removal and replacement of trees. (Summary).",Development At 45 And 47,,Sandhurst Drive,Seven Kings,,,,,,6,1,5,,,Approved,22/06/2023,,,
23/03757/FULL1,Bromley Custodian Code,03/10/2023,Approved,All Other,"Conversion of dwellinghouse into two flats, with single storey rear extension, roof alterations to include loft conversion with rear dormer and two front roof lights and alterations to existing rear sloping roof.",,11,Lewes Road,,BR1 2RN,,,,,2,0,2,,,Approved,24/01/2024,,,
23/03692/FULL1,Bromley Custodian Code,10/10/2023,Approved,All Other,Demolition of existing bungalow and garage and construct a pair of 2 bedroomed semi-detached bungalows incorporating first floor front and rear dormers with associated parking and refuse and cycle storage and subdivision of the site curtilage.,,85,Oxhawth Crescent,,BR2 8BN,,,,,2,1,1,,,Approved,05/12/2023,,,
2022/4551/P,Camden,19/10/2022,Approved,All Other,"Erection of a mansard roof extension with PV panels above, a lower ground floor rear extension with green roof above, a reconfigured 1st floor bathroom rear extension, new windows and relocated entrance door on side elevation, window alterations on rear elevation, reconfigured lower ground floor side wing with extension into front garden, removal of 1st floor rear conservatory and replacement by roof terrace, and new waste bin and cycle stores in front garden.",60 South Hill Park,60,,London,NW3 2SJ,,,,,2,1,1,,,Approved,05/05/2023,,,
230592FUL,Ealing,13/02/2023,Approved,All Other,Conversion of a single dwellinghouse into two self-contained residential units; and associated internal and external alteration (following of removal rear/side structure),99 Woodlands Road,,Woodlands Road,Southall,UB1 1EJ,,,,,2,0,2,,,Approved,06/04/2023,,,https://pam.ealing.gov.uk/online-applications/PLAN/230592FUL;
P0771.23,Havering,17/05/2023,Approved,All Other,"Two storey, 2-bed, terraced dwelling and amenity space","2 Marine Cottage, Wennington Road, Wennington",,Rainham,,RM13 9DY,,,,,2,2,0,,,Approved,11/07/2023,,,http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=P0771.23
22/01917/FUL,London Borough of Lambeth,03/08/2022,Approved,All Other,Erection of single storey dwelling in rear garden.,,9,Rydal Road,,SW16 1QF,,,,,1,0,1,,,Approved,18/07/2023,,,
23/P1858,Merton,05/07/2023,Approved,All Other,"ERECTION OF REPLACEMENT DWELLINGHOUSE, INCLUDING LANDSCAPING AND PARKING.",,251,Galpins Road,Thornton Heath,CR7 6EY,,,,,1,1,0,,,Approved,15/08/2023,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=23/P1858
4868/APP/2023/2520,Hillingdon,24/08/2023,Approved,Prior Approval,"Change of use from office space to five residential flats (Class C3) (Application to determine if prior approval is required pursuant to Schedule 2, Part 3, Class MA of the Town and Country Planning (General Permitted Development)(England) Order 2015 (as amended).",575-583,,BATH ROAD,,UB7 0EH,,,,,5,0,5,,,Approved,27/10/2023,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=4868/APP/2023/2520
2021/2031,Wandsworth,29/04/2021,Approved,All Other,"Details of reserved matters (scale, layout, access, external appearance and landscaping) in respect of Plot A01 (residential use) Phase 3, pursuant to condition 3 of planning permission 2021/3489 dated 13th July 2023 (for 'Application under Section 73 of the Town and Country Planning Act (1990) for a minor material amendment to Condition 61 (in respect of Plot A01 Phase 3) of the Outline Planning Permission 2011/1815 (as amended) dated 30th March 2012 for the 'demolition of all existing buildings and construction of a mixed use redevelopment to provide residential units, including affordable housing, retail, financial and professional services, caf/restaurant, bar and hot food take-away uses, car showrooms, office floorspace and flexible workspace, a hotel, community uses and assembly and leisure uses, associated basement and ground level parking and servicing; energy centres; new vehicle and pedestrian access and circulation; and new public amenity space and landscaping including part of the 'Linear Park'.' Proposal seeks amendments to the consented Parameter Plans and Development Specification Documents as they relate to Plot A01 (Phase 3) of the outline consent.')",Development Site Of Embassy Garden Phase 2,,Ponton Road,London,SW8 5BA,,,,,247,0,247,,,Approved,15/03/2024,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2021/2031
230656FUL,Ealing,17/02/2023,Approved,All Other,"Conversion of single dwelling to 3 no. self contained units, two storey side extension (following demolition of existing garage); single storey rear,part first floor rear extension. Alteration of roof from hip to gable end; rear roof extension and installation of two roof lights to front roof slope",19 Argyl Avenue,,Argyll Avenue,Southall,UB1 3AT,,,,,3,1,2,,,Approved,26/04/2023,,,https://pam.ealing.gov.uk/online-applications/PLAN/230656FUL;
DM2021/00835,London Borough of Sutton,22/07/2021,Approved,All Other,Demolition of two semi detached dwelling houses and erection of a two storey building comprising of six flats with 4 off street parking spaces and cycle parking.,50-52 Stanley Park RoadCarshaltonSM5 3HW,,,,,,,,,6,2,4,,,Approved,13/09/2023,,,
