LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
16/00666/P,Croydon,,Approved,All Other,Alterations and use of No 25 as 3 Bedroom House; erection of 2 two storey attached four bedroom houses with accommodation in roofspace,25,25,Temple Road,Croydon,CR0 1HU,,,,,3,3,0,,,,29/09/2016,,,
166659CPL,Ealing,13/01/2017,Approved,All Other,Change of use from a single family dwelling (use class C3) to a house in multiple occupation (use class C4). (Lawful Development Certificate for Proposed Development),11,11,Whitehall Gardens,Acton,W3 9RD,,,,,1,1,0,,,Approved,09/03/2017,,,https://pam.ealing.gov.uk/online-applications/PLAN/166659CPL;
16/1747/F,Greenwich,,Allowed,All Other,"Construction of ground floor and first floor rear extensions to facilitate the conversion of ground, first and second floors into 2 self contained flats (2x2-bed)","Astra Food & Wine, 28","Astra Food & Wine, 28",Conway Road,Plumstead,SE18 1AH,,,,,2,1,1,,,,14/03/2017,,,
16/1511/F,Greenwich,,Allowed,All Other,Demolition of a single garage and the construction of a self-contained one storey plus basement single family dwelling,Land rear of 142,Land rear of 142,Humber Road,Blackheath,SE3,,,,,1,0,1,,,,15/03/2017,,,
PP/15/04155,Kensington and Chelsea,,Allowed,All Other,Amalgamation of ground and lower ground floor flats with the installation of an internal stair and associated internal works to property.,41,41,Norland Square,,W11 4PZ,,,,,1,2,-1,,,,01/11/2016,,,
15/05286/P,Croydon,,Approved,All Other,Demolition of existing building; erection of a three storey building comprising a ground floor for A1/2 use and two one bedroom flats above.,5 Russell Hill Parade,5 Russell Hill Parade,Russell Hill Road,Purley,CR8 2LE,,,,,2,0,2,,,,01/08/2016,,,
16/4203,Richmond upon Thames,,Approved,Prior Approval,Prior approval for conversion of rear part of shop (Use Class A1) to a self-contained residential unit (Use Class C3) including alterations to insert new doors and windows.,34-36,34-36,High Street,,TW2 7LT,,,,,1,0,1,,,Approved,23/12/2016,,,
17/1554/192,Barnet,,Approved,All Other,Conversion of property into single dwelling house,352,352,High Road,East Finchley,N2 9AB,,,,,1,2,-1,,,Approved,17/03/2017,,,
DC17/099870,Lewisham,,Approved,All Other,"Lawful Development Certificate (Proposed) in respect of the conversion of an existing garage into a habitable bedroom, involving the blocking up of the garage doors to the front elevation, at 36 Beckenham Hill Road, SE6, together with the change of use of the property from C3 (Single family dwellinghouse) to C4 (Houses in Multiple Occupation, up to 6 residents) and alterations to the width of the second floor front elevation window.",36,36,BECKENHAM HILL ROAD,BROMLEY,SE6 3NX,,,,,1,0,1,,,Approved,20/03/2017,,,
16/0031/CP,Greenwich,,Approved,All Other,Lawful Development Certificate for the change of use of first floor to C3 Residential over A1 Retail Unit.,8,8,Little Thames Walk,Deptford,SE8 3FB,,,,,1,0,1,,,Approved,25/07/2016,,,
16/1550/CP,Greenwich,,Approved,All Other,Certificate of Lawfulness (Proposed) for the conversion of the property back to a single family dwelling.,37,37,Fingal Street,Greenwich,SE10 0JL,,,,,1,2,-1,,,Approved,05/07/2016,,,
16/5741/192,Barnet,,Approved,All Other,Conversion of property back to single dwelling house,14,14,Hallowick Road,Coppetts,N10 1AB,,,,,1,2,-1,,,Approved,06/09/2016,,,
14/01605,Newham,,Approved,All Other,"Outline planning application with all matters reserved except for Access for the redevelopment of the site for mixed use purposes, including the alteration, partial demolition and conversion of the Millennium Mills and the construction of buildings across the site to include Brand buildings (Sui Generis), Residential (Use Class C3), Office (Use Class B1), Retail (Use Classes A1-A5), Leisure (Use Class D2), Education (Use Class D1), Hotels (Use Class C1), other Non-Residential floor space such as community use (Use Class D1), provision of public open space, works of repair and restoration of the Dock walls, infilling and excavation of parts of the Dock area, the placing of structures in, on, or over the Dock area, utilities, construction of estate roads and the creation of new accesses to the public highway, works of landscaping and making good, creation of surface and sub-surface car parking areas.",S21: Site bounded by Royal Victoria Dock,S21: Site bounded by Royal Victoria Dock,Connaught Bridge,Silvertown,E16,,,,,3000,0,3000,,,Approved,19/08/2016,,,
P/2015/1951,Hounslow,14/05/2015,Allowed,All Other,Erection of a three bedroom detached house at the rear of 121 Jersey Road,121,121,Jersey Road,Isleworth,TW7 4QR,,,,,2,0,2,,,,09/07/2015,,,https://planningandbuilding.hounslow.gov.uk/NECSWS/ES/Presentation/Planning/OnlinePlanning/OnlinePlanningOverview?applicationNumber=P/2015/1951
